 
Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend 
Err?=(none)/Reinst-required (Status,Err:
Name Version
 
accountsservice 0.6.35-0ubuntu7.2
acl 2.2.52-1
acpid 1:2.0.21-1ubuntu2
adduser 3.113+nmu3ubuntu3
apache2 2.4.7-1ubuntu4.9
apache2-bin 2.4.7-1ubuntu4.9
apache2-data 2.4.7-1ubuntu4.9
apparmor 2.8.95~2430-0ubuntu5.3
apt 1.0.1ubuntu2.15
apt-transport-https 1.0.1ubuntu2.15
apt-utils 1.0.1ubuntu2.15
apt-xapian-index 0.45ubuntu4
aptitude 0.6.8.2-1ubuntu4
aptitude-common 0.6.8.2-1ubuntu4
at 3.1.14-1ubuntu1
atop 2.2.6-2
attr 1:2.4.47-1ubuntu1
avahi-daemon 0.6.31-4ubuntu1
base-files 7.2ubuntu5.5
base-passwd 3.5.33
bash 4.3-7ubuntu1.5
bash-completion 1:2.1-4ubuntu0.1
bc 1.06.95-8ubuntu1
bind9-host 1:9.9.5.dfsg-3ubuntu0.7
binutils 2.24-5ubuntu14
biosdevname 0.4.1-0ubuntu6.2
bsd-mailx 8.1.2-0.20131005cvs-1ubuntu0.14.04.1
bsdmainutils 9.0.5ubuntu1
bsdutils 1:2.20.1-5.1ubuntu20.9
btrfs-tools 3.12-1ubuntu0.1
btsnmp 7.0-428+f5c1db187
build-essential 11.6ubuntu6
busybox-initramfs 1:1.21.0-1ubuntu1
busybox-static 1:1.21.0-1ubuntu1
bzip2 1.0.6-5
ca-certificates 20141019ubuntu0.14.04.1
ca-certificates-java 20130815ubuntu1
cachefilesd 0.10.5-1
ceph 10.2.11-7.0+428+f5c1db187
ceph-base 10.2.11-7.0+428+f5c1db187
ceph-common 10.2.11-7.0+428+f5c1db187
ceph-common-dbg 10.2.11-7.0+428+f5c1db187
ceph-fs-common 10.2.11-7.0+428+f5c1db187
ceph-fuse 10.2.11-7.0+428+f5c1db187
ceph-mds 10.2.11-7.0+428+f5c1db187
ceph-mon 10.2.11-7.0+428+f5c1db187
ceph-osd 10.2.11-7.0+428+f5c1db187
ceph-osd-dbg 10.2.11-7.0+428+f5c1db187
ceph-resource-agents 10.2.11-7.0+428+f5c1db187
cifs-utils 2:6.0-1ubuntu2
cluster-glue 1.0.11+hg2754-1.1build1
command-not-found 0.3ubuntu12
command-not-found-data 0.3ubuntu12
console-setup 1.70ubuntu8
coreutils 8.21-1ubuntu5.3
cpio 2.11+dfsg-1ubuntu1.1
cpp 4:4.8.2-1ubuntu6
cpp-4.8 4.8.4-2ubuntu1~14.04.3
crmsh 1.2.5+hg1034-1ubuntu4
cron 3.0pl1-124ubuntu2
cryptsetup-bin 2:1.6.1-1ubuntu1
ctdb 2:4.3.13+dfsg-7.0+428+f5c1db187
curl 7.35.0-1ubuntu2.6
dash 0.5.7-4ubuntu1
dbus 1.6.18-0ubuntu4.3
debconf 1.5.51ubuntu2
debconf-i18n 1.5.51ubuntu2
debconf-utils 1.5.51ubuntu2
debianutils 4.4
dh-python 1.20140128-1ubuntu8.2
diffutils 1:3.3-1
dkms 2.2.0.3-1.1ubuntu5.14.04.5
dmidecode 2.12-2
dmsetup 2:1.02.77-6ubuntu2.1
dnsmasq 2.68-1ubuntu0.1
dnsmasq-base 2.68-1ubuntu0.1
dnsutils 1:9.9.5.dfsg-3ubuntu0.7
docutils-common 0.11-3
docutils-doc 0.11-3
dosfstools 3.0.26-1
dpkg 1.17.5ubuntu5.5
dpkg-dev 1.17.5ubuntu5.5
e2fslibs:amd64 1.42.9-3ubuntu1.3
e2fsprogs 1.42.9-3ubuntu1.3
ed 1.9-2
eject 2.1.5+deb1+cvs20081104-13.1
ethtool 1:3.13-1
fakeroot 1.20-3ubuntu2
fence-agents 3.1.5-2ubuntu4
file 1:5.14-2ubuntu3.3
findutils 4.4.2-7
fio 2.1.3-1
fontconfig 2.11.0-0ubuntu4.1
fontconfig-config 2.11.0-0ubuntu4.1
fonts-dejavu 2.34-1ubuntu1
fonts-dejavu-core 2.34-1ubuntu1
fonts-dejavu-extra 2.34-1ubuntu1
friendly-recovery 0.2.25
ftp 0.17-28
fuse 2.9.2-4ubuntu4.14.04.1
g++ 4:4.8.2-1ubuntu6
g++-4.8 4.8.4-2ubuntu1~14.04.3
ganglia-monitor 3.6.0-1ubuntu2
gawk 1:4.0.1+dfsg-2.1ubuntu2
gcc 4:4.8.2-1ubuntu6
gcc-4.8 4.8.4-2ubuntu1~14.04.3
gcc-4.8-base:amd64 4.8.4-2ubuntu1~14.04.3
gcc-4.9-base:amd64 4.9.3-0ubuntu4
gdb 7.7.1-0ubuntu5~14.04.3
gdisk 0.8.8-1ubuntu0.1
geoip-database 20140313-1
gettext-base 0.18.3.1-1ubuntu3
gir1.2-glib-2.0 1.40.0-1ubuntu0.2
gnupg 1.4.16-1ubuntu2.4
gpgv 1.4.16-1ubuntu2.4
grep 2.16-1
groff-base 1.22.2-5
grub-common 2.02~beta2-9ubuntu1.7
grub-gfxpayload-lists 0.6
grub-pc 2.02~beta2-9ubuntu1.7
grub-pc-bin 2.02~beta2-9ubuntu1.7
grub2-common 2.02~beta2-9ubuntu1.7
gzip 1.6-3ubuntu1
haproxy 1.6.11-1ppa1~trusty
hdparm 9.43-1ubuntu3
heartbeat 1:3.0.5-3.2
hostname 3.15ubuntu1
i40e-dkms 2.2.4-1~u14.04+mos1
ifenslave 2.4ubuntu1.2
iftop 1.0~pre2-5
ifupdown 0.7.47.2ubuntu4.3
inetutils-traceroute 2:1.9.2-1
info 5.2.0.dfsg.1-2
init-system-helpers 1.14
initramfs-tools 0.103ubuntu4.2
initramfs-tools-bin 0.103ubuntu4.2
initscripts 2.88dsf-41ubuntu6.3
insserv 1.14.0-5ubuntu2
install-info 5.2.0.dfsg.1-2
installation-report 2.54ubuntu1
iperf 2.0.5-3
ipmitool 1.8.13-1ubuntu0.6
iproute 1:3.12.0-2ubuntu1
iproute2 3.12.0-2ubuntu1
iptables 1.4.21-1ubuntu1
iputils-arping 3:20121221-4ubuntu1.1
iputils-ping 3:20121221-4ubuntu1.1
iputils-tracepath 3:20121221-4ubuntu1.1
irqbalance 1.0.6-2ubuntu0.14.04.4
isc-dhcp-client 4.2.4-7ubuntu12.4
isc-dhcp-common 4.2.4-7ubuntu12.4
iso-codes 3.52-1
java-common 0.51
kbd 1.15.5-1ubuntu1
keyboard-configuration 1.70ubuntu8
keyutils 1.5.6-1
klibc-utils 2.0.3-0ubuntu1
kmod 15-0ubuntu6
kpartx 0.4.9-3ubuntu7.16.2
krb5-config 2.3
krb5-locales 1.12+dfsg-2ubuntu5.2
krb5-user 1.12+dfsg-2ubuntu5.2
landscape-common 14.12-0ubuntu0.14.04
language-selector-common 0.129.3
laptop-detect 0.13.7ubuntu2
less 458-2
libaccountsservice0:amd64 0.6.35-0ubuntu7.2
libacl1:amd64 2.2.52-1
libaio1:amd64 0.3.109-4
libalgorithm-diff-perl 1.19.02-3
libalgorithm-diff-xs-perl 0.04-2build4
libalgorithm-merge-perl 0.08-2
libapache2-mod-fastcgi 1:2.4.7~0910052141-1.1
libapache2-mod-wsgi 3.4-4ubuntu2.1.14.04.2
libapparmor-perl 2.8.95~2430-0ubuntu5.3
libapparmor1:amd64 2.8.95~2430-0ubuntu5.3
libapr1:amd64 1.5.0-1
libaprutil1:amd64 1.5.3-1
libaprutil1-dbd-sqlite3:amd64 1.5.3-1
libaprutil1-ldap:amd64 1.5.3-1
libapt-inst1.5:amd64 1.0.1ubuntu2.15
libapt-pkg4.12:amd64 1.0.1ubuntu2.15
libarchive-extract-perl 0.70-1
libasan0:amd64 4.8.4-2ubuntu1~14.04.3
libasn1-8-heimdal:amd64 1.6~git20131207+dfsg-1ubuntu1.1
