"wsg_deb_name","wsg_latest_version","wsg_old_version"
"accountsservice","accountsservice_0.6.45-1ubuntu1_amd64.deb","0.6.35-0ubuntu7.2
"
"acl","acl_2.2.52-3build1_amd64.deb","2.2.52-1
"
"acpid","acpid_2.0.28-1ubuntu1_amd64.deb","1:2.0.21-1ubuntu2
"
"adduser","adduser_3.116ubuntu1_all.deb","3.113+nmu3ubuntu3
"
"apache2","None","2.4.7-1ubuntu4.9
"
"apache2-bin","apache2-bin_2.4.29-1ubuntu4_amd64.deb","2.4.7-1ubuntu4.9
"
"apache2-data","apache2-data_2.4.29-1ubuntu4_all.deb","2.4.7-1ubuntu4.9
"
"apparmor","apparmor_2.12-4ubuntu5_amd64.deb","2.8.95~2430-0ubuntu5.3
"
"apt","apt_1.6.1_amd64.deb","1.0.1ubuntu2.15
"
"apt-transport-https","apt_1.6.1_amd64.deb","1.0.1ubuntu2.15
"
"apt-utils","apt-utils_1.6.1_amd64.deb","1.0.1ubuntu2.15
"
"apt-xapian-index","apt-xapian-index_0.47ubuntu13_all.deb","0.45ubuntu4
"
"aptitude","aptitude_0.8.10-6ubuntu1_amd64.deb","0.6.8.2-1ubuntu4
"
"aptitude-common","aptitude-common_0.8.10-6ubuntu1_all.deb","0.6.8.2-1ubuntu4
"
"at","at_3.1.20-3.1ubuntu2_amd64.deb","3.1.14-1ubuntu1
"
"atop","atop_2.3.0-1_amd64.deb","2.2.6-2
"
"attr","attr_2.4.47-2build1_amd64.deb","1:2.4.47-1ubuntu1
"
"avahi-daemon","avahi-daemon_0.7-3.1ubuntu1_amd64.deb","0.6.31-4ubuntu1
"
"base-files","base-files_10.1ubuntu2_amd64.deb","7.2ubuntu5.5
"
"base-passwd","base-passwd_3.5.44_amd64.deb","3.5.33
"
"bash","bash_4.4.18-2ubuntu1_amd64.deb","4.3-7ubuntu1.5
"
"bash-completion","bash-completion_2.8-1ubuntu1_all.deb","1:2.1-4ubuntu0.1
"
"bc","bc_1.07.1-2_amd64.deb","1.06.95-8ubuntu1
"
"bind9-host","bind9-host_9.11.3+dfsg-1ubuntu1_amd64.deb","1:9.9.5.dfsg-3ubuntu0.7
"
"binutils","binutils_2.30-15ubuntu1_amd64.deb","2.24-5ubuntu14
"
"biosdevname","biosdevname_0.4.1-0ubuntu10_amd64.deb","0.4.1-0ubuntu6.2
"
"bsd-mailx","bsd-mailx_8.1.2-0.20160123cvs-4_amd64.deb","8.1.2-0.20131005cvs-1ubuntu0.14.04.1
"
"bsdmainutils","bsdmainutils_11.1.2ubuntu1_amd64.deb","9.0.5ubuntu1
"
"bsdutils","bsdutils_2.31.1-0.4ubuntu3_amd64.deb","1:2.20.1-5.1ubuntu20.9
"
"btrfs-tools","btrfs-tools_4.15.1-1build1_amd64.deb","3.12-1ubuntu0.1
"
"btsnmp","None","7.0-428+f5c1db187
"
"build-essential","build-essential_12.4ubuntu1_amd64.deb","11.6ubuntu6
"
"busybox-initramfs","busybox-initramfs_1.27.2-2ubuntu3_amd64.deb","1:1.21.0-1ubuntu1
"
"busybox-static","busybox-static_1.27.2-2ubuntu3_amd64.deb","1:1.21.0-1ubuntu1
"
"bzip2","bzip2_1.0.6-8.1_amd64.deb","1.0.6-5
"
"ca-certificates","ca-certificates_20180409_all.deb","20141019ubuntu0.14.04.1
"
